id,prompt,A,B,C,D,answer,explanation,chapter,tags
3-01,Which interaction most stabilizes α-helices and β-pleated sheets in proteins?,Hydrogen bonds between backbone groups,Hydrophobic clustering of side chains,Ionic bonds between acidic/basic R groups,Disulfide bonds,A,Secondary structure is stabilized by H-bonds between C=O and N–H of the backbone.,3,"proteins,structure,secondary"
3-02,A single amino acid substitution directly alters which protein structural level first?,Primary,Secondary,Tertiary,Quaternary,A,"The sequence changes (primary), which may propagate to higher levels.",3,"proteins,structure"
3-03,Peptide bonds form by which reaction type?,Hydrolysis,Hydrogenation,Condensation (dehydration),Oxidation,C,Peptide bond formation releases water during condensation.,3,"proteins,peptide-bond"
3-04,Which R-group class is most likely buried inside a folded protein?,Charged R-groups,Polar uncharged R-groups,Nonpolar R-groups,Proline only,C,Hydrophobic (nonpolar) residues cluster in the protein interior.,3,"proteins,hydrophobic-effect"
3-05,Which is TRUE about enzymes?,They alter ΔG of a reaction to make it more negative,They lower activation energy but not ΔG,They are consumed during reaction,They shift equilibrium toward products,B,Enzymes lower Ea; they do not change ΔG or equilibrium positions.,8,"enzymes,kinetics"
3-06,Competitive inhibition typically…,Decreases Vmax only,Increases apparent Km,Decreases Km,Increases Vmax,B,Competitors occupy active sites; more substrate needed to reach same rate.,8,"enzymes,inhibition"
3-07,Allosteric regulation usually involves a molecule binding…,At the active site to block substrate,At a distant site causing conformational change,Covalently to the substrate,Irreversibly to denature the enzyme,B,Allosteric modulators bind at non-active sites to change activity.,8,"enzymes,regulation"
3-08,Disulfide bonds form between which amino acid residues?,Serine,Lysine,Cysteine,Methionine,C,Oxidation of two cysteine -SH groups forms a disulfide bridge.,3,"proteins,tertiary"
3-09,"Which level of structure is primarily determined by R-group interactions such as ionic, hydrophobic, and H-bonds?",Primary,Secondary,Tertiary,Quaternary,C,Tertiary structure arises from side-chain interactions.,3,"proteins,tertiary"
3-10,Molecular chaperones assist proteins by…,Catalyzing peptide bond formation,Preventing improper interactions during folding,Cleaving misfolded proteins only,Transporting proteins into mitochondria,B,Chaperones help correct folding and prevent aggregation.,3,"proteins,chaperones"
3-11,Enzyme active sites bind substrates mainly through…,Covalent bonds only,Noncovalent interactions and precise shape complementarity,Ionic bonds only,Hydrophobic forces only,B,Binding is typically reversible via multiple weak interactions.,8,"enzymes,active-site"
3-12,Increasing temperature beyond an enzyme’s optimum generally…,Increases activity indefinitely,Has no effect,"Denatures the enzyme, decreasing activity",Always increases Vmax,C,Excess heat disrupts noncovalent interactions stabilizing structure.,8,"enzymes,denaturation"
